efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Kronlid","Julia","SD","Stockholms län","1980","inriktning; behandlingsarbete","13","härledd 1996→2009","9","9","spann-summa","Omvårdnadsprogrammet, Njudungs gymnasieskola i Vetlanda 96–99. Sociala omsorgsprogrammet, inriktning socialpedagogiskt behandlingsarbete, Örebro universitet 05–09.","Undersköterska (deltid), Mogärde servicehus, Vetlanda 97–99. Undersköterska (deltid), Karolinska sjukhuset, Stockholm 99–00. Elevassistent, Stefanskolan, Stockholm 00–02. Vårdare gruppbostad, Botkyrka kommun 02–03. Biståndsarbetare, SIL–Summer Institute of Linguistics, Papua Nya Guinea 04–05. Skötare, Allmänpsykiatrin, Örebro läns landsting 07–08. Behandlingsassistent, Runnagården Örebro, Statens institutionsstyrelse 08. Behandlingsassistent, Skäbo HVB-hem Staffansbo vård AB 09. Behandlingsassistent, Avd. 3 Allmänspsykiatrin, Örebro läns landsting 09–10."
"Köse","Serkan","S","Stockholms län","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"Lasses","Anna","C","Stockholms län","1977","","","Utbildning saknas","","","Anställningar saknas","",""
"Lewerentz","Joanna","M","Stockholms län","1992","","","Utbildning saknas","","","Anställningar saknas","",""
"Lind","Amanda","MP","Stockholms län","1980","","10","härledd 1999→2009","3","6","spann-summa; 1 politiskt segment borträknat","Naturvetenskapliga programmet, Midskogsskolan, Luleå, slutår 99. Mänskliga rättigheter, Teologiska högskolan, Stockholm slutår 00. Psykologprogrammet, Umeå universitet, slutår 09.","Vik. lärare, elevassistent, lokalvårdare, kafébiträde 00–01. Leg. psykolog/PTP-psykolog, Barn- och ungdomspsykiatrin, Landstinget Västernorrland 09–11. Partisekreterare, Miljöpartiet 16–19."
"Lindahl","Fredrik","SD","Stockholms län","1987","","","ett årtal (studietid ej härledbar)","10","10","spann-summa","Teknikprogrammet, Täby, slutår 06.","Väktare/Skyddsvakt, 07–14. Kanslichef, Sverigedemokraterna Stockholms län 15–18."
"Lindefjärd","Christian","SD","Stockholms län","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"Lundgren","Kerstin","C","Stockholms län","1955","Fil.kand.","","ett årtal (studietid ej härledbar)","26","37","spann-summa; 2 politiskt segment borträknat","Fil.kand., Uppsala universitet 78.","Gruppsekreterare, Södertäljecentern 78–80. Politisk sekreterare, Stockholms läns landsting 80–87. Pressekreterare, Centerpartiets ledning 87–91. Informationssekreterare 91. Politiskt sakkunnig, Miljödepartementet 92–94. Kommunalsekreterare, Centerpartiet 95–99. Förbundssekreterare, Centerkvinnorna 00–01. Utredare, Sveriges Kommuner och Landsting 01–18."
"Malm","Fredrik","L","Stockholms län","1977","","","ett årtal (studietid ej härledbar)","5","5","spann-summa","Gymnasieskola, Stockholm, slutår 97. Studier vid Uppsala universitet och Stockholms universitet.","Ledarskribent 01–02. Förbundsordförande, LUF 02–06."
"Malmqvist","Josefin","M","Stockholms län","1987","","7","härledd 2003→2010","14","14","spann-summa, pågående=2025","International Baccalaureate (IB), Malmö Borgarskola 03–06. BA (Hons) filosofi, statsvetenskap och nationalekonomi, University of Oxford, Oxford 07–10.","Kommunikationskonsult, Aspekta, 10–12. Borgarrådssekreterare, Stockholms stadshus, 12–14. Managementkonsult inom kris- och riskhantering, 4C Strategies, 15–."
