efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Skönnbrink","Sofia","S","Värmlands län","1991","Förvaltningsrätt","5","härledd 2010→2015","12","12","spann-summa, pågående=2025","Gymnasieskola, naturvetenskapligt program, Arvika, slutår 10. Etologi- och djurskyddsprogrammet, Sveriges Lantbruksuniversitet i Skara, slutår 13. Förvaltningsrätt och djurskydd i teori och praktik, Linnéuniversitetet, slutår 14. Biologi i praktiken, Karlstads universitet, slutår 15.","Vårdbiträde, Eda kommun 13–15. Montör, Fundo Components AB 13–15. Miljö- och hälsoskyddsinspektör, Eda Kommun 15–."
"Svenneling","Håkan","V","Värmlands län","1985","","","Utbildning saknas","","","Anställningar saknas","",""
"Andersson Garpvall","Pontus","SD","Västerbottens län","1992","Helsingborg","3","härledd 2011→2014","7","13","spann-summa; 2 politiskt segment borträknat","Gymnasieskola, Pro Civitas, Helsingborg, slutår 11. Studier vid Lunds universitet 11–12 och Malmö högskola 13–14.","Truckförare, Swedfruit, Helsingborg 07–13. Truckförare, Saba frukt och grönt, Helsingborg 13. Chaufför, Swedlog, Helsingborg 13–14. Politisk sekreterare, Malmö stad 15–18. Politisk sekreterare, Helsingborgs stad 18–21."
"From","Isak","S","Västerbottens län","1967","modulutbildning; utbildningar","30","härledd 1985→2015","40","40","spann-summa, pågående=2025","Gymnasieskola, drifts- och underhållsteknisk linje, Sven Winqvists gymnasium, Göteborg, slutår 85. AMU Gällivare, modulutbildning tunga fordon 93. Fackliga och politiska utbildningar under 15 år.","Montör, Volvo Personvagnar AB 85–88. Varierande drift- och borrningsarbeten, TGB-koncernen 88–00. Bergarbetare, Renfors åkeri 00–03. Driftstekniker, Extena 03–."
"Karlsson","Åsa","S","Västerbottens län","1973","Lärarexamen","16","härledd 1991→2007","","","inga daterade spann","Gymnasieskola, Barn och ungdom, Balderskolan, Skellefteå, slutår 91. Lärarexamen, Mittuniversitetet 07.","Barnskötare, Skellefteå kommun. Lärare, Bobysands miljöskola. Lärare, Skellefteå kommun."
"Lindahl","Helena","C","Västerbottens län","1972","","","Utbildning saknas","","","Anställningar saknas","",""
"Nordborg","Gudrun","V","Västerbottens län","1946","Jur.kand.","4","härledd 1965→1969","41","41","spann-summa","Gymnasium, Karlshamn, slutår 65. Jur.kand., Lunds universitet 69.","Tingsnotarie vid Umebygdens tingsrätt 70–72. Hovrättsfiskalsaspirant vid Hovrätten för övre Norrland 72–73. Hovrättsfiskal vid Hovrätten för övre Norrland 73. Lektor i rättsvetenskap vid Socialhögskolan i Umeå 74–77. Universitetslektor vid juridiska institutionen, Umeå universitet 77–98. Informationschef vid Brottsoffermyndigheten 99-13."
"Pettersson","Helén","S","Västerbottens län","1972","","2","härledd 1993→1995","14","14","spann-summa","Brunnsviks folkhögskola 93–95.","Hotellstäderska, Umeå 88–93. Ombudsman, Hotell- och restaurangfacket 97–98. Ombudsman, LO 98–06."
"Riedl","Edward","M","Västerbottens län","1976","","","inga årtal","","","inga daterade spann","Storebro Båtbyggarskola. Umeå universitet.","Industriarbete. Säljare. Taxichaufför."
"Seye Larsen","Nils","MP","Västerbottens län","1980","","","Utbildning saknas","","","Anställningar saknas","",""
"Wiechel","Björn","S","Västerbottens län","1983","Pol.mag.","7","härledd 2002→2009","11","13","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, Umeå, slutår 02. Pol.mag., kulturgeografi, Umeå universitet 05–09.","Butiksbiträde, Clas Ohlson, Umeå 01–12. Bartender, Lottas Krog, Umeå 08–11. Gymnasielärare, Umeå Waldorfskola 09–11. Politisk sekreterare, Västerbottens läns landsting, 12–14."
"Berglund","Jörgen","M","Västernorrlands län","1974","Linköping","","inga årtal","","","inga daterade spann","Samhällsvetenskaplig linje, Hedbergska gymnasiet, Sundsvall. Europaprogrammet, Mittuniversitetet, Sundsvall. Stridsskola Nord, Officershögskolan, Umeå Stridsskola Mitt, Officershögskola, Linköping/Kvarn MHS, Militärhögskolan, KHS AK i Östersund MSS, Militärhögskolan, Skövde. Enstaka kurser, Umeå universitet, Mittuniversitetet och Högskolan i Gävle.","Sommar- och helgjobb inom restaurang/kök. MUF-ombudsman, Sundsvall. Yrkesofficer, Östersund. Partiombudsman, Sundsvall. Affärsområdeschef, Stockholm. Kommunalråd, Sundsvall."
"Björk","Peder","S","Västernorrlands län","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Hedberg","Peter","S","Västernorrlands län","1990","Lärarutbildning","8","härledd 2006→2014","11","11","spann-summa, pågående=2025","Gymnasieskola, samhällsvetenskapligt program, Ådalsskolan, Kramfors 06–09. Lärarutbildning, Umeå universitet, slutår 14.","Gymnasielärare, Ådalsskolan, Kramfors kommun 14–."
"Hellhoff","Mats","SD","Västernorrlands län","1954","","","Utbildning saknas","","","Anställningar saknas","",""
"Larsson","Malin","S","Västernorrlands län","1980","Pol.mag.; Statsvetarexamen","6","härledd 1999→2005","29","29","spann-summa, pågående=2025","Grundskola, Matfors skola. Gymnasieskola, Västermalms gymnasium, Sundsvall, slutår 99. Pol.mag.-programmet, Umeå universitet 00–02. Statsvetarexamen, Mittuniversitetet 05.","Butiksanställd, Biltema 96–99. Lärarvikarie, Matfors skola 99–01. Banktjänsteman, SEB 01–10. Kronoinspektör, Kronofogdemyndigheten 10–."
"Lindholm","Ulf","SD","Västernorrlands län","1963","","","Utbildning saknas","","","Anställningar saknas","",""
"Mixter","Isabell","V","Västernorrlands län","1989","","5","härledd 2008→2013","10","10","spann-summa","Gymnasieskola, Östersund, slutår 08. Samhällsvetarprogrammet, Mittuniversitetet, Sundsvall, slutår 13.","Växeltelefonist, Arbetsförmedlingen 09–10. Handläggare, Kronofogden 13–18. Gruppledare för Vänsterpartiet, Region Västernorrland 18–20. Gruppledare för Vänsterpartiet, Sundsvalls kommun 20–22."
"Sjölund","Anne-Li","C","Västernorrlands län","1966","Barnskötarutbildning.","","ett årtal (studietid ej härledbar)","37","37","spann-summa, pågående=2025","Gymnasieskola, Sundsvall, slutår 84. Barnskötarutbildning.","Förskola/fritidshem 85–87, Sundsvalls kommun. Trafikrestauranger 87–89. Restaurang 89–96. Företagare 96–02. Butik/lagerchef 03–14. Verksamhetsutvecklare SV 15–18. Ombudsman 19–."
"Strömberg","Anna-Belle","S","Västernorrlands län","1965","Fritidsledarutbildning; idrotts","","inga årtal","30","30","spann-summa, pågående=2025","Gymnasieskola, Örnsköldsvik. Fritidsledarutbildning med idrotts- och friluftsliv som profil, Mellansels folkhögskola.","Fritidsledare, Örnsköldsvik 85–86 och elevassistent 96–."
"Damsgaard","Mikael","M","Västmanlands län","1976","Fil.mag.","16","härledd 1995→2011","20","22","spann-summa, pågående=2025; 1 politiskt segment borträknat","Samhällsvetenskaplig linje, Rudbeckianska gymnasiet, Västerås, slutår 95. Värnplikt som kompanibefäl, A8, Boden, 96–97. Universitetsstudier, Mälardalens högskola, Stockholms universitet och Örebro universitet 98–04. Fil.mag., företagsekonomi, Stockholms universitet 11.","Politisk sekreterare, Västerås kommun 98–00. Personalhandläggare, Försvarsmakten, 04–06. Personalsekreterare, Mora kommun, 06. Kommunalråd, Västerås 06–14. HR-konsult, Stockholms kommun, 15–."
"Eriksson","Åsa","S","Västmanlands län","1972","Grundskollärarexamen","","ett årtal (studietid ej härledbar)","12","12","spann-summa","Grundskollärarexamen åk 4–9 So, Uppsala universitet 98.","Grundskollärare S:t Olofs högstadieskola, Sigtuna 98–99. Utbildningskonsult, Brana AB/Bewator AB 99–01. Säljare, Iquity Systems 01–03.3 Projektledare Kolbäcksådalens Gymansieförbund 03–04. Ansvarig tjänsteman Södra Dalarnas Samordningsförbund 05–11."
"Högström","Caroline","M","Västmanlands län","1991","Lärarutbildning; åldrar; inriktning; språkutveckling","","ett årtal (studietid ej härledbar)","18","18","spann-summa, pågående=2025","Lärarutbildning, lärare tidiga åldrar, inriktning språk och språkutveckling, Mälardalens högskola, slutår 14.","Restaurangbiträde 07–14. Vårdbiträde, Västerås 10. Förskollärare, Västerås 14–."
"Johansson","Lena","S","Västmanlands län","1969","","","Utbildning saknas","","","inga daterade spann","","Enhetschef, Kultur- och fritidsförvaltningen, Köpings kommun. Svenska Röda Korset. Resurscentrum för kvinnor. LRC-KAK. Projektansvarig för ALU-Köping."
"Lundberg","Angelica","SD","Västmanlands län","1981","Jönköping","12","härledd 1988→2000","","","Anställningar saknas","Grundskola, Jönköping 88–97. Gymnasieskola, Jönköping 97–00.",""
"Sjöstedt","Oscar","SD","Västmanlands län","1981","","","Utbildning saknas","","","inga daterade spann","","."
"Thorell","Olle","S","Västmanlands län","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Tsouplaki","Vasiliki","V","Västmanlands län","1980","","11","härledd 1996→2007","24","24","spann-summa, pågående=2025","Gymnasieskola, Europaprogrammet, Carlforsska gymnasiet, Västerås 96–99. Studier vid Uppsala universitet, Mälardalens högskola och Södertörns högskola 99–07.","Vikarie inom barnomsorg och skola 00–06. Lagerarbetare, Seelig, Morgongåva. Kassapersonal, Ullared 2/Karlssons i Morgongåva. Gymnasielärare, Rekarnegymnasiet i Eskilstuna, 07–."
"Alm","Ann-Sofie","M","Västra Götalands läns norra","1971","Enköping; gymnasieingenjör","","inga årtal","","","inga daterade spann","Westerlundska gymnasiet, Enköping, fyraårig teknisk linje. Fyrisskolan, Uppsala, gymnasieingenjör. Göteborgs universitet, folkhälsa, promotion. Diverse ledarskapskurser. Stockholms öppna universitet, juridisk översiktskurs.","Gymnasielärare, idrott, Westerlundska gymnasiet. Fastighetsförvaltare, säljare, restauatör, egen företagare och entreprenör."
"Enholm","Matheus","SD","Västra Götalands läns norra","1979","","","Utbildning saknas","","","Anställningar saknas","",""
"Gustafsson","Cecilia","M","Västra Götalands läns norra","1972","","","Utbildning saknas","","","Anställningar saknas","",""
"Jacobsson","Magnus","KD","Västra Götalands läns norra","1968","","","ett årtal (studietid ej härledbar)","21","21","spann-summa","Gymnasieskola, social linje, slutår 86. Studier i historia, internationella relationer och ekonomisk historia, Göteborgs universitet. Kyrkohistoria vid Newmaninstitutet.","Städare, Akademiska sjukhuset, 86–87. Terminalarbetare 87–88. Anställd, Securitas 88–96. Förbundsordförande, KDU 96–99. Kommunalråd, Uddevalla 06–14."
"Svensson","Jonathan","S","Västra Götalands läns norra","2000","","","Utbildning saknas","","","Anställningar saknas","",""
"Thunström","Louise","S","Västra Götalands läns norra","1973","","2","härledd 1995→1997","25","25","spann-summa, pågående=2025","Gymnasieskola, omvårdnadslinjen, Göteborg, slutår 1992. Högskolestudier i statsvetenskap, sociologi och organisationspsykologi, Högskolan Trollhättan/Uddevalla, 95–97.","Lärare, Tanums kommun 00–02, 04, ungdomsvägledare/ungdomsassistent/ungdomskonsulent 02–12, arbetsmarknadssamordnare 12–."
"Wiechel","Markus","SD","Västra Götalands läns norra","1988","","","Utbildning saknas","","","Anställningar saknas","",""
"Wiking","Mats","S","Västra Götalands läns norra","1961","","","Utbildning saknas","","","Anställningar saknas","",""
"Alftberg","Anders","SD","Västra Götalands läns södra","1973","","","Utbildning saknas","","","Anställningar saknas","",""
"Ericson","Jan","M","Västra Götalands läns södra","1961","Jur.kand.","","ett årtal (studietid ej härledbar)","22","22","spann-summa","Jur.kand., Göteborgs universitet 93.","SEB 86–08."
"Jönsson","Patrik","SD","Västra Götalands läns södra","1972","","","Utbildning saknas","","","Anställningar saknas","",""
"Kihlström","Ingemar","KD","Västra Götalands läns södra","1966","maskiningenjör; Högskoleingenjör","6","härledd 1982→1988","27","27","spann-summa","Gymnasieskola, teknisk maskiningenjör, Skara/Skövde 82–86. Högskoleingenjör 80p, Högskolan i Borås 86–88.","Konstruktör, Autoliv Vårgårda 89–91, projektledare, 94–02 och inköpare 02–18. Lärarvikarie, Gullhögskolan, Vårgårda 91–92."
"Larsson","Mikael","C","Västra Götalands läns södra","1989","","","ett årtal (studietid ej härledbar)","8","10","spann-summa; 1 politiskt segment borträknat","Barn- och fritidsprogrammet, Marks gymnasieskola, Kinna, slutår 08.","Barnskötare, Marks kommun 08–12. Verksamhetsutvecklare, Studieförbundet Vuxenskolan, Sjuhärad 12–16. Ombudsman, Centerpartiet Sjuhärad 16–18."
"Löberg","Petter","S","Västra Götalands läns södra","1968","","","Utbildning saknas","","","Anställningar saknas","",""
"Nilsson","Ulrik","M","Västra Götalands läns södra","1963","begynnelseutbildning; Reservofficersutbildning","11","härledd 1978→1989","26","26","spann-summa","Studier på kemiteknisk linje med fysisk begynnelseutbildning, Chalmers Tekniska Högskola, Göteborg 81–89. Naturvetenskaplig linje, Marks gymnasieskola, Skene 78–81. Reservofficersutbildning KA/Sjökrigsskolan, Näsbypark 84–86.","Ingenjör/sektionschef/projektledare, Statens Provningsanstalt/Sveriges Provnings- och Forskningsinstitut AB/Sveriges Tekniska Forskningsinstitut 88–98 och 07. Regionråd, Västra Götalandsregionen 98–06. Sektionschef/projektledare, RISE, Research Institutes of Sweden, 14–22."
"Rodén","Jessica","S","Västra Götalands läns södra","1976","Vuxenutbildningen","","inga årtal","17","17","spann-summa, pågående=2025","Vuxenutbildningen i Marks kommun. Högskolekurser inom handikappvetenskap, sociologi, pedagogik och ledarskap.","Stödassistent, Marks kommun 08–."
"Alm Ericson","Janine","MP","Västra Götalands läns västra","1973","","","Utbildning saknas","","","Anställningar saknas","",""
"Christiansson","Alexander","SD","Västra Götalands läns västra","1981","","","Utbildning saknas","","","Anställningar saknas","",""
"Farivar","Rashid","SD","Västra Götalands läns västra","1982","Kandidatexamen; Civilingenjörsexamen; Tekn. lic.","7","härledd 2004→2011","13","13","spann-summa","Kandidatexamen inom Elektroteknik, K. N. Toosi University of Technology, Teheran, Iran 04. Civilingenjörsexamen, Chalmers Tekniska Högskola, Göteborg 08. Tekn. lic., Chalmers Tekniska Högskola, Göteborg 11.","Doktorand, Chalmers tekniska högskola, Göteborg 08–11. Forsknings- och utvecklingsingenjör, Semcon Sweden AB, Göteborg 12–15. Forsknings- och utvecklingsingenjör, Volvo Car Corporation, Göteborg 15–22."
"Forslund","Kenneth G","S","Västra Götalands läns västra","1967","","","ett årtal (studietid ej härledbar)","3","9","spann-summa; 2 politiskt segment borträknat","Gymnasieskola, ekonomisk linje, slutår 86.","Utbildare, ABF Kungälv 91–94. Pressekreterare, Socialdemokraternas kansli, Stockholms läns landsting 95–97. Informationsombudsman, Socialdemokraterna i Västsverige 97–98 och Socialdemokraterna i Stockholms län 99–02."
"Gellerman","Helena","L","Västra Götalands läns västra","1960","Alingsås; Chefsutbildning; säljutbildning","26","härledd 1979→2005","41","41","spann-summa","Gymnasieskola, naturvetenskaplig linje, Alströmerskolan, Alingsås, slutår 79. Elektrotekniklinjen, Chalmers, examensår 84. Chefsutbildning, Volvo Corporate Management Program 97. IHM:s Volvo–Renaults säljutbildning 00. Ekonomisk historia, Göteborgs universitet 05","Nääs Kaffestuga, 75–84. Guide på Nääs slott, sommaren 77. Utvecklare/projektledare/gruppchef/stf. chef Eldivisionen, Volvo Personvagnar 84–00. Bilsäljare, Bilia Göteborg 00–04. Ansvarig Test Site Sweden, Lindholmen Science Park, Göteborg 06–07 Manager Fältdatainsamling av trafiksäkerhetsdata, SAFER at Chalmers, Lindholmen Science Park, Göteborg 07–18"
"Juntti","Ellen","M","Västra Götalands läns västra","1958","","13","härledd 1965→1978","39","39","spann-summa","Grundskola, Juoksengi och Övertorneå 65–74. Tornedals gymnasieskola, Haparanda 74– 76. Polisskolan, Ulriksdal, Stockholm 77–78.","Polisaspirant, Polisen Stockholm och Göteborg 78–80. Polisman, Polisen Göteborg 80–82. Kriminalinspektör, Polisen Göteborg, Polismyndigheten Västra Götaland och Ekobrottsmyndigheten i Göteborg 82–17."
"Järrebring","Joakim","S","Västra Götalands läns västra","1976","","","ett årtal (studietid ej härledbar)","34","34","spann-summa, pågående=2025","Gymnasieskola, Falun, slutår 95.","Butiksbiträde, Mathuset i Falun AB 91–97. Gjutare, Fix AB 97–05. Ombudsman, Vision 05–. Kommunalråd, Alingsås kommun 12–18."
"Nouri","Aylin","S","Västra Götalands läns västra","1992","Fil.kand.; Mastersexamen","9","härledd 2008→2017","3","3","spann-summa","Gymnasieskola, samhällsvetenskaplig linje ""Europa och världen"", Ingrid Segerstedts gymnasium, Göteborg 08–11. Fil.kand., Europaprogrammet, Göteborgs universitet 11–14. EU–China Relations and International Politics, Fudan University, Shanghai 12–13. Mastersexamen, European Studies, Göteborgs universitet 14–17. Fältstudier (Sida), Kina 17.","Affärsbiträde 10–12. Arbetsledare, Greenpeace 17–18."
"Rantsi","Johanna","M","Västra Götalands läns västra","1990","","9","härledd 2006→2015","10","10","spann-summa, pågående=2025","Styrsö högstadium, Styrsö, slutår 06. Fässbergsgymnasiet, Mölndal, slutår 09. Lärarprogrammet, Göteborgs universitet, Göteborg, slutår 15.","Gymnasielärare, Angeredsgymnasiet 15–."
"Tréville","Timothy","SD","Västra Götalands läns västra","1962","","","Utbildning saknas","","","Anställningar saknas","",""
"Utbult","Roland","KD","Västra Götalands läns västra","1951","Fil.kand.","","ett årtal (studietid ej härledbar)","34","34","spann-summa","Fil.kand., historia, Göteborgs universitet. Musikhögskolan. Lärarhögskolan, Mölndal, slutår 78.","Musiklärare, Uddevalla 71–74. Lärare i historia och musik, Uddevalla 78–89. Frilansmusiker 90–00. Kommunikatör, Göteborgs Räddningsmission 00–09 och Erikshjälpen 09–10."
"Wernäng","Jennie","M","Västra Götalands läns västra","1985","inriktning; räddningstjänst","3","härledd 2001→2004","1","1","spann-summa","Undersköterska med inriktning akutsjukvård och räddningstjänst 01-04.","Sanerare och sorterare av farligt gods, Heidelberg Cement 03–04. Laboratorieassistent, Reci industri AB 05, marknadsföringsassistent 06 och mottagningskoordinator/biträdande arbetsledare 07. Ordermottagare kundservice Stena Recycling AB 08 och kemrådgivare 14. Tf skolchef, Föräldrakooperativ Sjöstjärnan 13. Undersköterska Öckerö kommun 15 och 20 och renhålningsmottagare 20. Butiksmedarbetare Boutique LS KB 18. Konferensansvarig Aston Haralds Salonger 19."
"Wetterling","Jessica","V","Västra Götalands läns västra","1986","","","Utbildning saknas","","","Anställningar saknas","",""
"Ådahl","Anders","C","Västra Götalands läns västra","1972","Civilingenjör; Tekn.dr","","inga årtal","15","15","spann-summa","Gymnasieskola teknisk linje, Sven Erikssonskolan, Borås. Civilingenjör kemiteknik, Chalmers. Tekn.dr energi och miljö, Chalmers.","Energisystemanalytiker, Göteborg Energi, 05–07. Forsknings- och utvecklingschef, Göteborg Energi, 07–12. Styrkeområdesledare Energi, Chalmers, 12–17. Koncernstrateg, Chalmersstiftelsen 19–22."
"Andersson","Tobias","SD","Västra Götalands läns östra","1996","Ekonomexamen","3","härledd 2015→2018","3","3","spann-summa","Gymnasieskola, Skövde, slutår 15. Ekonomexamen, Handelshögskolan vid Göteborgs universitet 18.","Olika befattningar, Ica Tidan 12–15. Kundtjänst, SEB 16. Försäljare, Elgiganten Phone House 17. Nationell talesperson, Ungsvenskarna 18."
"Bergheden","Sten","M","Västra Götalands läns östra","1965","","","Utbildning saknas","","","Anställningar saknas","",""
"Björck","Patrik","S","Västra Götalands läns östra","1957","","","inga årtal","37","37","spann-summa","Grundskola, Göteborg. Gymnasieskola, samhällsvetenskaplig linje, Göteborg (ej fullständig).","Livsmedelsarbetare, Arla, Göteborg 75. Bryggeriarbetare, Pripps 78. Busschaufför, Göteborgs spårvägar 79. Sjukvårdsbiträde, Vasa sjukhus, Göteborg 80. Träindustriarbetare, Kinnarps kontorsmöbler, Falköping 85–22."
"Ekeroth Clausson","Ida","S","Västra Götalands läns östra","1991","Pol. kand.; Fil. mag.","11","härledd 2010→2021","13","13","spann-summa","Gymnasieskola, Samhällsprogrammet, Vadsbogymnasiet, Mariestad, slutår 10. Pol. kand. Karlstads universitet 14. Fil. mag., statsvetenskap, Örebro universitet 21.","Timanställningar inom handel, servering och vård 07–13. Lärare sfi, Mariestad 14–15. Handläggare, Migrationsverket, Mariestad 16–18. Oppositionsråd Mariestad 16–22."
"Ezelius","Erik","S","Västra Götalands läns östra","1986","Officersexamen","10","härledd 2002→2012","20","20","spann-summa, pågående=2025","Naturvetenskapligt program, Rudbecksgymnasiet, Tidaholm slutår 02. Officersexamen, Försvarshögskolan 12.","Lärarvikarie, Tidaholm 05–06. Timanställd på ungdomskafé, Tidaholm 05–. Vitvaruförsäljare, Tidaholm 06–09. Plutonchef, Skaraborgs regemente, Skövde 12–."
"Grubb","Jörgen","SD","Västra Götalands läns östra","1962","","","Utbildning saknas","","","Anställningar saknas","",""
"Heie","Ulrika","C","Västra Götalands läns östra","1965","Mellanstadielärarexamen","3","härledd 1983→1986","19","19","spann-summa","Mellanstadielärarexamen 83–86.","Lärare, Skövde kommun 86–02. Kommunalråd, Skövde 03–06."
"Hovskär","Dan","KD","Västra Götalands läns östra","1970","","","Utbildning saknas","","","Anställningar saknas","",""
"Nordström","Charlotte","M","Västra Götalands läns östra","1963","Katedralskolans; Civilekonomexamen; inriktning; marknadsföring","6","härledd 1982→1988","29","29","spann-summa, pågående=2025","Naturvetenskaplig linje, Katedralskolans gymnasium, Skara 82. Civilekonomexamen, inriktning marknadsföring, organisation och ledarskap, Handelshögskolan, Göteborg 88.","Egna företag PM Konsult 89–96. CJ Motell AB/VIP Skara Motell 90–91. Kunskap och Känsla HB 02–15. Nordströms i Skara AB 16–."
"Awad","Nadja","V","Örebro län","1991","","","Utbildning saknas","","","Anställningar saknas","",""
"Begic","Denis","S","Örebro län","1970","","","ett årtal (studietid ej härledbar)","24","29","spann-summa; 1 politiskt segment borträknat","Teknisk gymnasieskola, Bosanska Gradiska, slutår 88.","Städare, olika restauranger i Örebro, 89–90. Industriarbetare, Emba Machinery AB 90–11 Butiksbiträde, Ica Cityhallen Örebro, 11–13. Ombudsman, Socialdemokraterna Örebro, 13–18."
"Eklind","Hans","KD","Örebro län","1966","Teol. mag.","21","härledd 1984→2005","25","26","spann-summa; 1 politiskt segment borträknat","High School, USA, slutår 84. Gymnasieskola, Örebro, slutår 86. Teol. mag.-examen, Stockholm 05.","Telefonist, taxiväxel, Örebro 87–88. Ombudsman KDU och KDS, Örebro län 88–91. Förbundsordförande, KDU 92–96. Pressekreterare, Skattebetalarnas förening 96–97. Projektledare (lobbyist), Svensk Handel 98–99. Informationschef, Skattebetalarnas förening 00–02. Gruppledare, Kristdemokraterna, Nyköping 02–04. Komminister, Längbro församling, Örebro 06–13. Församlingsherde, Längbro församling, Örebro 13–18."
"Ernkrans","Matilda","S","Örebro län","1973","Högskoleexamen; högskoleexamen","10","härledd 1992→2002","11","11","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, samhällsvetenskaplig linje, slutår 92. Högskole-/universitetsstudier i statsvetenskap, nationalekonomi och sociologi 95–02. Högskoleexamen, statskunskap och högskoleexamen, sociologi, Örebro universitet.","Köksbiträde, Hallsbergs kommun 91–93. Arbetsförmedlare, Hallsberg 93–02. Vårdbiträde, Hallsbergs kommun 97. Politisk sekreterare, Örebro läns landsting 98."
"Hansén","Camilla","MP","Örebro län","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"Nilsson","Elin","L","Örebro län","1982","inriktning","","ett årtal (studietid ej härledbar)","12","12","spann-summa, pågående=2025","Rättsvetenskap med internationell inriktning, Örebro universitet 11.","Inspektör, Inspektionen för vård och omsorg 13–."
"Spiik","Daniel","SD","Örebro län","1977","","","Utbildning saknas","","","Anställningar saknas","",""
"Sundin","Karin","S","Örebro län","1972","Fil.kand.","11","härledd 1991→2002","12","24","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, samhällsvetenskaplig linje, Visby, slutår 91. Fil.kand. i statskunskap, Örebro universitet 02.","Ledarskribent, Gotlands Tidningar 92–94 och Aftonbladet 94. Chefredaktör, Tvärdrag 95–97. Politisk redaktör, Nya Norrland 99. Frilansjournalist, Ordbehandlarna i Örebro 95–03. Utredare/gruppledare/pressekreterare, Länsstyrelsen i Örebro län 03–15. Konsult, Hegeli Public Affairs 15–17."
"Svärd","Oskar","M","Örebro län","1995","","","Utbildning saknas","","","Anställningar saknas","",""
"Söderlund","Per","SD","Örebro län","1972","","","Utbildning saknas","","","Anställningar saknas","",""
"Tolgfors","Katarina","M","Örebro län","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Vilhelmsson","Helena","C","Örebro län","1965","","10","härledd 1984→1994","","","inga daterade spann","Gymnasieskola samhällsvetenskaplig linje, Bregårdskolan, Karlskoga, slutår 84. Skogsteknikerlinjen, Skogsmästarskolan, Skinnskatteberg, examen 94.","Skogskonsulent, Skogsstyrelsen Örebro."
"Andersson","Jonas","SD","Östergötlands län","1989","Fil.kand.; Linköpings","10","härledd 2008→2018","","4","spann-summa; 1 politiskt segment borträknat","Naturvetenskapligt program, Rinmangymnasiet, Eskilstuna, slutår 08. Fil.kand., statsvetenskap, Linköpings universitet 18.","Diverse anställningar under och efter gymnasietiden, bland annat feriearbete på Mälarsjukhuset, Landstinget Sörmland 07. Politisk sekreterare, Linköpings kommun 11–14 och 17–18."
"Andersson","Johan","S","Östergötlands län","1961","utbildningar","18","härledd 1978→1996","45","45","spann-summa, pågående=2025","Grundskola, Skolgårda skola i Motala, slutår 78. Gymnasieskola, tvåårig vårdlinje, Vätternskolan i Motala, slutår 80. Ett flertal fackliga utbildningar inom LO och Kommunalarbetareförbundet 85–96.","Underskötare, Lasarettet i Motala 80–."
"Aranda","Clara","SD","Östergötlands län","1988","","","Utbildning saknas","","","Anställningar saknas","",""
"Carvalho","Teresa","S","Östergötlands län","1984","Norrköping; Pol.mag.; Linköpings","6","härledd 2003→2009","5","5","spann-summa","Hagagymnasiet, Norrköping, slutår 03. Pol.mag., Linköpings universitet 09.","Informatör, Byrån mot diskriminering 09–11. Informations- och föreningssamordnare, Riksbyggen 11–14."
"Dahlqvist","Chris","SD","Östergötlands län","1995","","","Utbildning saknas","","","Anställningar saknas","",""
"Demirok","Muharrem","C","Östergötlands län","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"E Weinerhall","John","M","Östergötlands län","1995","Norrköping; Linköpings","6","härledd 2011→2017","8","8","spann-summa","Ekonomiprogrammet, Kunskapsgymnasiet, Norrköping 11–13. Komvux, Norrköping 15–16. Statsvetenskap, Linköpings universitet 17–. Kurser i religionsvetenskap och litteraturvetenskap, Linnéuniversitetet.","Lantarbetare, Bränntorp gård 10–15. Konsult, ML Resurs 13–15. Kommunikatör, Mediakonsulterna 13. Butikspersonal, Stockholms Dragspelsservice AB 13–18."
"Emilsson","Aron","SD","Östergötlands län","1990","Fil. kand.","4","härledd 2009→2013","9","9","spann-summa","Gymnasieskola, Lerum, slutår 09. Statsvetenskapens grunder, Göteborgs universitet 09. Fil. kand., kulturarvsstudier, Göteborgs universitet 13.","Kyrkogårdsvaktmästare, Starrkärr-Kilanda församling 05–12. Kyrkvaktmästare, Starrkärr-Kilanda församling 09–14. Kyrkoskrivare/administrativ assistent, Starrkärr-Kilanda församling 13–14."
"Karlson","Patrik","L","Östergötlands län","1987","","","Utbildning saknas","","","Anställningar saknas","",""
"Le Moine","Rebecka","MP","Östergötlands län","1990","Mastersexamen; Linköpings","","inga årtal","","","inga daterade spann","Mastersexamen, ekologi, Linköpings universitet.","Naturvårdskonsult."
"Lindh","Eva","S","Östergötlands län","1971","Socionomutbildning","4","härledd 1991→1995","30","30","spann-summa, pågående=2025","Socionomutbildning, Göteborgs universitet 91–95.","Socialsekreterare, Kinda kommun 95. Fältsekreterare, Finspångs kommun 95–00. Socialsekreterare, Norrköpings kommun 00–02. Skolkurator, Linköpings kommun 02–08. Skolkurator, Norrköpings kommun 08–."
