belongs_on_signum,note_text,link_count,certainty,tier
"","Samma som gjort DR 409",0,,C_orphan_note
"","Samma som gjort Nä 26 och eventuellt 23 samt 32.",0,,C_orphan_note
"","Samma som gjort Ög 235 ATA 8141/74",0,,C_orphan_note
"","Samma som gjort Ög Hov14;22",0,,C_orphan_note
"","Samma som gjort Ög Hov15;22",0,,C_orphan_note
"","Samma som gjort Sm SvS1973;4.",0,,C_orphan_note
"","Samma som gjort Sö 198, 200, U 792",0,,C_orphan_note
"","Samma som gjort Sö 198, 207, U 792",0,,C_orphan_note
"","Samma som gjort U 1015, 1017-1018, 1020-1024.",0,,C_orphan_note
"","Samma som gjort U 1015, 1017-1019, 1021-1024.",0,,C_orphan_note
"","Samma som gjort U 1015, 1017, 1019-1024",0,,C_orphan_note
"","Samma som gjort U 1015, 1017-1020, 1022-1024.",0,,C_orphan_note
"","Samma som gjort U 1015, 1017-1021, 1023-1024",0,,C_orphan_note
"","Samma som gjort U 1015, 1017-1023.",0,,C_orphan_note
"","Samma som gjort U 1015 och 1018-1024.",0,,C_orphan_note
"","Samma som gjort U 1048 och 1050.",0,,C_orphan_note
"","Samma som gjort U 1050 och 1060",0,,C_orphan_note
"","Samma som gjort U 1051.",0,,C_orphan_note
"","Samma som gjort U 1146.",0,,C_orphan_note
"","Samma som gjort U 136.",0,,C_orphan_note
"","Samma som gjort U 244",0,,C_orphan_note
"","Samma som gjort U 276",0,,C_orphan_note
"","Samma som gjort U 297 och Fv1953;270.",0,,C_orphan_note
"","Samma som gjort U 323 och U 518",0,,C_orphan_note
"","Samma som gjort U 49.",0,,C_orphan_note
"","Samma som gjort U 497",0,,C_orphan_note
"","Samma som gjort U 50.",0,,C_orphan_note
"","Samma som gjort U 60.",0,,C_orphan_note
"","Samma som gjort U 685.",0,,C_orphan_note
"","Samma som gjort U 686.",0,,C_orphan_note
"","Samma som gjort U 700",0,,C_orphan_note
"","Samma som gjort U 763",0,,C_orphan_note
"","Samma som gjort U 764",0,,C_orphan_note
"","Samma som gjort U 800",0,,C_orphan_note
"","Samma som gjort U Fv1953;270 och U Fv1979;245.",0,,C_orphan_note
"","Samma som gjort Vg 193.",0,,C_orphan_note
"","Samma som gjort Vg 195.",0,,C_orphan_note
"","Samma som IM MM128.",0,,C_orphan_note
"","Samma som ristat U 309.",0,,C_orphan_note
"","Samma som ristat U 310.",0,,C_orphan_note
"","Troligen samma ornamentik som Sö 350-52.",0,,ornament_note
"","Troligen samma ristare som gjort Sö 324.",0,,C_orphan_note
"","Troligen samma ristare som gjort Sö 91.",0,,C_orphan_note
"","Troligen samma som gjort DR 160",0,,C_orphan_note
"","Troligen samma som gjort U 40.",0,,C_orphan_note
"","Troligen samme ristare som gjort Sö 332",0,,C_orphan_note
"","Visar vissa likheter med U",0,,skill_note
